#displayName,widgetUrl,imageUrl,imageUrlSmall,width,height,singleton(true|false),background(true|false),visible(true|false),WIDGET_GUID ,WIDGET_VERSION ,UNIVERSAL_NAME ,DESCRIPTOR_URL ,DESCRIPTION ,assign,assignName,
Channel Shouter,examples/walkthrough/widgets/ChannelShouter.gsp,themes/common/images/widget-icons/ChannelShouter.png,themes/common/images/widget-icons/ChannelShouter.png,295,250,FALSE,FALSE,TRUE,,1,org.owfgoss.owf.examples.ChannelShouter,,,groups,OWF Administrators,OWF Users
Channel Listener,examples/walkthrough/widgets/ChannelListener.gsp,themes/common/images/widget-icons/ChannelListener.png,themes/common/images/widget-icons/ChannelListener.png,540,440,FALSE,FALSE,TRUE,,1,org.owfgoss.owf.examples.ChannelListener,,,groups,OWF Administrators,OWF Users
Widget Chrome,examples/walkthrough/widgets/WidgetChrome.gsp,examples/walkthrough/images/chromeWiget_black_icon.png,examples/walkthrough/images/chromeWiget_blue_icon.png,540,440,FALSE,FALSE,TRUE,,1,org.owfgoss.owf.examples.WidgetChrome,,,groups,OWF Administrators,OWF Users
Event Monitor Widget,examples/walkthrough/widgets/EventMonitor.html,examples/walkthrough/images/event_monitor_black_icon.png,examples/walkthrough/images/event_monitor_blue_icon.png,500,600,FALSE,FALSE,TRUE,,1,org.owfgoss.owf.examples.EventMonitor,,,groups,OWF Administrators,OWF Users
Widget Log,examples/walkthrough/widgets/WidgetLog.gsp,themes/common/images/widget-icons/WidgetLog.png,themes/common/images/widget-icons/WidgetLog.png,540,440,FALSE,FALSE,TRUE,,1,org.owfgoss.owf.examples.WidgetLog,,,groups,OWF Administrators,OWF Users
Preferences Widget,examples/walkthrough/widgets/Preferences.gsp,examples/walkthrough/images/testpref_black_icon.png,examples/walkthrough/images/testpref_blue_icon.png,450,300,FALSE,FALSE,TRUE,,1,org.owfgoss.owf.examples.Preferences,,,groups,OWF Administrators,OWF Users
NYSE Widget,examples/walkthrough/widgets/NYSE.gsp,themes/common/images/widget-icons/NYSEStock.png,themes/common/images/widget-icons/NYSEStock.png,825,437,FALSE,FALSE,TRUE,fe137961-039d-e7a5-7050-d6eed7ac4782,1,org.owfgoss.owf.examples.NYSE,../examples/walkthrough/descriptors/NYSE_descriptor.html,This widget displays the end of day report for the New York Stock Exchange.,groups,OWF Administrators,OWF Users
HTML Viewer,examples/walkthrough/widgets/HTMLViewer.gsp,themes/common/images/widget-icons/HTMLViewer.png,themes/common/images/widget-icons/HTMLViewer.png,400,600,FALSE,FALSE,TRUE,cd5e77f8-cb28-8574-0a8a-a535bd2c7de4,1,org.owfgoss.owf.examples.HTMLViewer,../examples/walkthrough/descriptors/HTMLViewer_descriptor.html,This widget displays HTML.,groups,OWF Administrators,OWF Users
Stock Chart,examples/walkthrough/widgets/StockChart.gsp,themes/common/images/widget-icons/PriceChart.png,themes/common/images/widget-icons/PriceChart.png,800,600,FALSE,FALSE,TRUE,92078ac9-6f21-2f5f-6afc-bdc8c915c66d,1,org.owfgoss.owf.examples.StockChart,../examples/walkthrough/descriptors/StockChart_descriptor.html,This widget charts stock prices.,groups,OWF Administrators,OWF Users
Directions,examples/walkthrough/widgets/directions,examples/walkthrough/widgets/directions/img/logo.png,examples/walkthrough/widgets/directions/img/logo.png,400,400,FALSE,FALSE,TRUE,302c35c9-9ed8-d0b6-251c-ea1ed4d0c86b,1,org.owfgoss.owf.examples.GetDirections,../examples/walkthrough/widgets/directions/descriptor/descriptor.html,This widget allows user to get directions fron one place to another.,groups,OWF Administrators,OWF Users
Google Maps,examples/walkthrough/widgets/googlemaps,examples/walkthrough/widgets/googlemaps/img/logo.png,examples/walkthrough/widgets/googlemaps/img/logo.png,800,600,FALSE,FALSE,TRUE,d182002b-3de2-eb24-77be-95a7d08aa85b,1,org.owfgoss.owf.examples.GoogleMaps,../examples/walkthrough/widgets/googlemaps/descriptor/descriptor.html,This widget displays markers or directions.,groups,OWF Administrators,OWF Users
Contacts Manager,examples/walkthrough/widgets/contacts,examples/walkthrough/widgets/contacts/img/logo.png,examples/walkthrough/widgets/contacts/img/logo.png,400,400,FALSE,FALSE,TRUE,92448ba5-7f2b-982a-629e-9d621268b5e9,1,org.owfgoss.owf.examples.ContactsManager,../examples/walkthrough/widgets/contacts/descriptor/descriptor.html,This widget allows users to manage their contacts.,groups,OWF Administrators,OWF Users
