#displayName,widgetUrl,imageUrl,imageUrlSmall,width,height,singleton(true|false),background(true|false),visible(true|false),WIDGET_GUID ,WIDGET_VERSION ,UNIVERSAL_NAME ,DESCRIPTOR_URL ,DESCRIPTION ,assign,assignName,
Clock,https://localhost:9443/owf-sample-html/clock/AnnouncingClock.html,https://localhost:9443/owf-sample-html/images/clock.gif,https://localhost:9443/owf-sample-html/images/clocksm.gif,500,500,FALSE,FALSE,TRUE,,1.0,Clock,,,groups,OWF Administrators,OWF Users
Eventing Clock,https://localhost:9443/owf-sample-html/clock/AnnouncingClock_Eventing.html,https://localhost:9443/owf-sample-html/images/clock.gif,https://localhost:9443/owf-sample-html/images/clocksm.gif,500,500,FALSE,FALSE,TRUE,,1.0,Eventing Clock,,,groups,OWF Administrators,OWF Users
Launching Clock,https://localhost:9443/owf-sample-html/clock/AnnouncingClock_Launcher.html,https://localhost:9443/owf-sample-html/images/clock.gif,https://localhost:9443/owf-sample-html/images/clocksm.gif,500,500,FALSE,FALSE,TRUE,,1.0,Launching Clock,,,groups,OWF Administrators,OWF Users
Dynamic Launching Clock,https://localhost:9443/owf-sample-html/clock/AnnouncingClock_DynamicLauncher.html,https://localhost:9443/owf-sample-html/images/clock.gif,https://localhost:9443/owf-sample-html/images/clocksm.gif,500,500,FALSE,FALSE,TRUE,,1.0,Dynamic Launching Clock,,,groups,OWF Administrators,OWF Users
Local Clock,https://localhost:9443/owf-sample-html/clock/AnnouncingClock_Localization.html,https://localhost:9443/owf-sample-html/images/clock.gif,https://localhost:9443/owf-sample-html/images/clocksm.gif,500,500,FALSE,FALSE,TRUE,,1.0,Local Clock,,,groups,OWF Administrators,OWF Users
Logging Clock,https://localhost:9443/owf-sample-html/clock/AnnouncingClock_Logging.html,https://localhost:9443/owf-sample-html/images/clock.gif,https://localhost:9443/owf-sample-html/images/clocksm.gif,500,500,FALSE,FALSE,TRUE,,1.0,Logging Clock,,,groups,OWF Administrators,OWF Users
Pref Clock,https://localhost:9443/owf-sample-html/clock/AnnouncingClock_Preference.html,https://localhost:9443/owf-sample-html/images/clock.gif,https://localhost:9443/owf-sample-html/images/clocksm.gif,500,500,FALSE,FALSE,TRUE,,1.0,Pref Clock,,,groups,OWF Administrators,OWF Users
Second Tracker,https://localhost:9443/owf-sample-html/clock/SecondTracker.html,https://localhost:9443/owf-sample-html/images/tracker.gif,https://localhost:9443/owf-sample-html/images/trackersm.gif,500,500,FALSE,FALSE,TRUE,,1.0,Second Tracker,,,groups,OWF Administrators,OWF Users
Second Tracker Lauched,https://localhost:9443/owf-sample-html/clock/SecondTracker_Launched.html,https://localhost:9443/owf-sample-html/images/tracker.gif,https://localhost:9443/owf-sample-html/images/trackersm.gif,500,500,FALSE,FALSE,TRUE,,1.0,Second Tracker Lauched,,,groups,OWF Administrators,OWF Users
Stock Watcher,https://localhost:9443/StockWatcher/StockWatcher.html,https://localhost:9443/StockWatcher/images/stockwatch.gif,https://localhost:9443/StockWatcher/images/stockwatchsm.gif,500,500,FALSE,FALSE,TRUE,,1.0,Stock Watcher,,,groups,OWF Administrators,OWF Users
Chess,https://localhost:9443/owf-sample-applet/index.jsp,https://localhost:9443/owf-sample-applet/images/chess.gif,https://localhost:9443/owf-sample-applet/images/white-queen.gif,680,640,FALSE,FALSE,TRUE,,1.0,Chess,,,groups,OWF Administrators,OWF Users
Flex Direct,https://localhost:9443/owf-sample-flex/direct.html,https://localhost:9443/owf-sample-flex/images/direct.gif,https://localhost:9443/owf-sample-flex/images/directsm.gif,500,500,FALSE,FALSE,TRUE,,1.0,Flex Direct,,,groups,OWF Administrators,OWF Users
Flex Pan,https://localhost:9443/owf-sample-flex/pan.html,https://localhost:9443/owf-sample-flex/images/pan.gif,https://localhost:9443/owf-sample-flex/images/pansm.gif,500,500,FALSE,FALSE,TRUE,,1.0,Flex Pan,,,groups,OWF Administrators,OWF Users
